2018-10-08 15:05:28.472 [main] INFO  o.s.b.t.context.SpringBootTestContextBootstrapper - Neither @ContextConfiguration nor @ContextHierarchy found for test class [com.secondgroud.front.webmusic.BasicTest], using SpringBootContextLoader
2018-10-08 15:05:28.488 [main] INFO  o.s.test.context.support.AbstractContextLoader - Could not detect default resource locations for test class [com.secondgroud.front.webmusic.BasicTest]: no resource found for suffixes {-context.xml, Context.groovy}.
2018-10-08 15:05:28.488 [main] INFO  o.s.t.c.support.AnnotationConfigContextLoaderUtils - Could not detect default configuration classes for test class [com.secondgroud.front.webmusic.BasicTest]: BasicTest does not declare any static, non-private, non-final, nested classes annotated with @Configuration.
2018-10-08 15:05:28.838 [main] INFO  o.s.b.t.context.SpringBootTestContextBootstrapper - Found @SpringBootConfiguration com.secondgroud.front.webmusic.WebmusicApplication for test class com.secondgroud.front.webmusic.BasicTest
2018-10-08 15:05:29.081 [main] INFO  o.s.b.t.context.SpringBootTestContextBootstrapper - Loaded default TestExecutionListener class names from location [META-INF/spring.factories]: [org.springframework.boot.test.mock.mockito.MockitoTestExecutionListener, org.springframework.boot.test.mock.mockito.ResetMocksTestExecutionListener, org.springframework.boot.test.autoconfigure.restdocs.RestDocsTestExecutionListener, org.springframework.boot.test.autoconfigure.web.client.MockRestServiceServerResetTestExecutionListener, org.springframework.boot.test.autoconfigure.web.servlet.MockMvcPrintOnlyOnFailureTestExecutionListener, org.springframework.boot.test.autoconfigure.web.servlet.WebDriverTestExecutionListener, org.springframework.test.context.web.ServletTestExecutionListener, org.springframework.test.context.support.DirtiesContextBeforeModesTestExecutionListener, org.springframework.test.context.support.DependencyInjectionTestExecutionListener, org.springframework.test.context.support.DirtiesContextTestExecutionListener, org.springframework.test.context.transaction.TransactionalTestExecutionListener, org.springframework.test.context.jdbc.SqlScriptsTestExecutionListener]
2018-10-08 15:05:29.112 [main] INFO  o.s.b.t.context.SpringBootTestContextBootstrapper - Using TestExecutionListeners: [org.springframework.test.context.web.ServletTestExecutionListener@20b12f8a, org.springframework.test.context.support.DirtiesContextBeforeModesTestExecutionListener@e84a8e1, org.springframework.boot.test.mock.mockito.MockitoTestExecutionListener@2e554a3b, org.springframework.boot.test.autoconfigure.SpringBootDependencyInjectionTestExecutionListener@54a67a45, org.springframework.test.context.support.DirtiesContextTestExecutionListener@7d42c224, org.springframework.test.context.transaction.TransactionalTestExecutionListener@56aaaecd, org.springframework.test.context.jdbc.SqlScriptsTestExecutionListener@522a32b1, org.springframework.boot.test.mock.mockito.ResetMocksTestExecutionListener@35390ee3, org.springframework.boot.test.autoconfigure.restdocs.RestDocsTestExecutionListener@5e01a982, org.springframework.boot.test.autoconfigure.web.client.MockRestServiceServerResetTestExecutionListener@5ddea849, org.springframework.boot.test.autoconfigure.web.servlet.MockMvcPrintOnlyOnFailureTestExecutionListener@5ee2b6f9, org.springframework.boot.test.autoconfigure.web.servlet.WebDriverTestExecutionListener@23d1e5d0]
2018-10-08 15:05:31.066 [main] INFO  com.secondgroud.front.webmusic.BasicTest - Starting BasicTest on ORFGN0C30X74CF9 with PID 6692 (started by Administrator in H:\IDEAproject\webmusic)
2018-10-08 15:05:31.066 [main] INFO  com.secondgroud.front.webmusic.BasicTest - No active profile set, falling back to default profiles: default
2018-10-08 15:05:31.207 [main] INFO  o.s.w.context.support.GenericWebApplicationContext - Refreshing org.springframework.web.context.support.GenericWebApplicationContext@2b27cc70: startup date [Mon Oct 08 15:05:31 CST 2018]; root of context hierarchy
2018-10-08 15:05:33.785 [main] INFO  o.s.d.r.config.RepositoryConfigurationDelegate - Multiple Spring Data modules found, entering strict repository configuration mode!
2018-10-08 15:05:35.300 [main] INFO  o.s.c.s.PostProcessorRegistrationDelegate$BeanPostProcessorChecker - Bean 'jedisRedisConfig' of type [com.secondgroud.front.webmusic.config.JedisRedisConfig$$EnhancerBySpringCGLIB$$6e2755b3] is not eligible for getting processed by all BeanPostProcessors (for example: not eligible for auto-proxying)
